stamp,price,sentiment
2016-02-11,379.2,0.3064875485393007
2016-02-12,389.0,0.26014177070001776
2016-02-13,397.7,0.30490166804054747
2016-02-14,406.8,0.30863521159297325
2016-02-15,400.9,0.32126829533814855
2016-02-16,411.9,0.32126829533814855
2016-02-17,418.4,0.32126829533814855
2016-02-18,417.7,0.21771782491281808
2016-02-19,425.9,0.21771782491281808
2016-02-20,439.2,0.2910002071019829
2016-02-21,438.8,0.2910002071019829
2016-02-22,434.5,0.2910002071019829
2016-02-23,421.4,0.2835236239049316
2016-02-24,424.0,0.2835236239049316
2016-02-25,423.9,0.456150843448238
2016-02-26,426.6,0.456150843448238
2016-02-27,427.1,0.456150843448238
2016-02-28,434.6,0.456150843448238
2016-02-29,433.3,0.34289601025196725
2016-03-01,432.8,0.34289601025196725
2016-03-02,415.4,0.34289601025196725
2016-03-03,421.7,0.30604978887883344
2016-03-04,397.5,0.30604978887883344
2016-03-05,399.1,0.30604978887883344
2016-03-06,404.8,0.27763577626939734
2016-03-07,414.0,0.27763577626939734
2016-03-08,409.9,0.470822254763685
2016-03-09,411.5,0.470822254763685
2016-03-10,418.8,0.470822254763685
2016-03-11,416.4,0.1675868356079048
2016-03-12,413.5,0.1675868356079048
2016-03-13,414.8,0.1675868356079048
2016-03-14,414.8,0.2940941216704473
2016-03-15,414.2,0.2940941216704473
2016-03-16,417.8,0.2940941216704473
2016-03-17,415.6,0.2940941216704473
2016-03-18,409.5,0.2632188453422218
2016-03-19,410.6,0.2632188453422218
2016-03-20,408.9,0.2632188453422218
2016-03-21,415.9,0.29806920588018937
2016-03-22,417.3,0.29806920588018937
2016-03-23,415.9,0.29806920588018937
2016-03-24,413.8,0.2509085301823485
2016-03-25,416.1,0.2509085301823485
2016-03-26,416.9,0.2509085301823485
2016-03-27,423.5,0.2509085301823485
2016-03-28,423.5,0.36029458182896135
2016-03-29,413.0,0.36029458182896135
2016-03-30,414.0,0.35660893969401114
2016-03-31,415.4,0.44691124539982524
2016-04-01,419.0,0.3776666102163249
2016-04-02,419.3,0.3776666102163249
2016-04-03,419.9,0.24866301703706298
2016-04-04,422.4,0.24866301703706298
2016-04-05,422.0,0.24866301703706298
2016-04-06,421.8,0.24866301703706298
