	Tweets	date	polarity
0	b'$BTC\n\n@CMEGroup futs dates\n\nlooks like we may have a new sheriff in town'	2019-12-12	0.13636363636363635
1	b'Last full moon of the decade \n\nBuy $BTC\n^financial advice'	2019-12-12	0.11666666666666665
2	b'$BTC\n\n@OKEx quarts rollover dates\n\nSince mid-2015 these have represented local tops or local bottoms of price range, with a few exceptions'	2019-12-12	-0.06666666666666667
3	"b""UGH that's cuz you did it all wrong. this is a screenshot of your checkout screen. (1) Bitcoin payment should get at least 20% discount bc it saves you the burden of card processing fees and chargeback risk, plus upside  (2) Don't use Bitpay, use @BtcpayServer instead"""	2019-12-12	-0.4
4	b'$BTC - Anticipate the unexpected.....\n\nHence I stated earlier that Im leaving asks around the swing highs of 78 - 82... you just never know!\n\nFractal-ish - not quite but you get the Gist..\n\nEnjoy! '	2019-12-12	0.19999999999999998
5	b'If you are a Bitcoin believer you should have already told your employer about $BTC.\n\nTell them they need a replacement for you in the near future for when the next bull run starts.\n\nYou have to prepare others for the personal wealth that crypto adoption will bring. '	2019-12-12	0.025
6	"b""To use bitcoin as a peer-to-peer money, you need to become a peer yourself with a full node.\n\nWithout one, you're trusting someone else to use the Bitcoin Network for you."""	2019-12-12	0.35
7	b'Bitcoin has a fraction of the Decred anonymity set.\n\nDecred privacy is 3months old. \n\n1.74Million DCR in the mix pool.\n\nPlausible deniability as far as chainalysis can see.\n\nBullish $DCR'	2019-12-12	0.2333333333333333
8	b'CoinShuffle++ has now made 1.74MM, or 16.1% of #Decred utxos private just three months in. '	2019-12-12	0.0
9	"b'#laBITconf Andreas Antonopoulos  @aantonop\n""The most brilliant white paper I have ever read #Bitcoin by Satoshi Nakamoto.... but not a very good programmer...Systems like that are difficult to manage"" \n#Uruguay @laBITconf \xe2\x80\x93 itt: Casino Radisson Victoria Plaza'"	2019-12-12	0.12615384615384614
10	b'Bitcoin is the best form of money ever created, but it hardly fixes every problem instantly.'	2019-12-12	0.23611111111111108
11	b'I gifted my niece some Bitcoin for her 1yr birthday and believe it will take care of her education in the future'	2019-12-12	0.25
12	b'Nearly 65% of Bitcoin hashrate originates from China.'	2019-12-12	0.1
13	b'Some people say everything other than Bitcoin is a shitcoin. What do you think? Check out our Crypto 101 Series to learn more: https://www.youtube.com/playlist?list=PL1fKlftNZ_xFKDK8UuRmVH0IaZenRfh_P \xe2\x80\xa6 #crypto #blockchain #explainbitcoin #bitcoin #kraken #crypto101 #cryptoslang pic.twitter.com/fEzvjbxU6X'	2019-12-12	0.1875
14	"b""\xe2\x88\x99 Today's volume so far: 1821 BTC ($13.12 million)\n\xe2\x88\x99 Last traded price: $7,205\n\xe2\x88\x99 Trading day progress: 67%\n\xe2\x88\x99 Current daily Bakktarget\xe2\x84\xa2: 2116 BTC ($15.25 million)"""	2019-12-12	0.025
15	b'I spent $2,000 to get a @cryptocom #crypto #bitcoin $mco debit card - was it worth it?'	2019-12-12	0.09999999999999999
16	"b'It\'s almost a boolean thing. If you haven\'t been censored, or have never been strongly sympathetic with somebody who has been censored, by the financial system, then you don\'t understand the biggest early use cases of Bitcoin. If you have, nobody needs to ""convert"" you.'"	2019-12-12	0.19999999999999998
17	"b""Perspective. \n\nLots of tweets lately on #bitcoin and high #crypto trading volume. Most can't comprehend big numbers. \n\n-Forex: 5.3 trillion/day or 220 billion/hour\n\n-Bitcoin: ~20 billion/day\n\nCrypto is illiquid AF\n\nThis is why you get scam wicked on every coin including $btc"""	2019-12-12	0.09
18	"b'Trading stocks, Forex, bitcoin & sports betting aren\'t pyramid schemes or scams. They\'re usually heavily regulated.\n\nPeople overlaying their services, signals & selling paid ""tips"" is where it becomes a scam.\n\n""Guaranteed profit"", ""double your money"" & ""earn quick"" = red flags!'"	2019-12-12	0.033333333333333326
