	Tweets	date	polarity
0	b'wow, 10 years after the white paper is published Cuban still can not understand what Bitcoin is and thinks BTC is Bitcoin.  BSV is the only real Bitcoin.  This author also holds himself out as an industry insider and also does not know what Bitcoin is.'	2019-12-15	0.07500000000000001
1	b'I can smell the anger in people when I touch the subject of 3k\n\nThat\xe2\x80\x99s fine but calm the fuck down ok?\n\nInstead of yelling at me \xe2\x80\x9cwtf you\xe2\x80\x99re crazy\xe2\x80\x9d or \xe2\x80\x9chow is that even possible\xe2\x80\x9d whilst I\xe2\x80\x99m using ordinary TA, you may build your case why it\xe2\x80\x99s impossible '	2019-12-15	-0.18518518518518515
2	b'Coverage of original #Bitcoin protocol now as #BSV is getting better.  More are understanding what it is and its power.'	2019-12-15	0.4583333333333333
3	"b""Don't like something?  Don't buy it.\nHave something you don't like?  Sell it. \nNot sure what's going on?  \nWe'll talk about it on a live stream in 20 minutes: https://youtu.be/1UPLA9-ICJg \n#bitcoin #BitcoinCash #ETH #cryptocurrency #HEX"""	2019-12-15	-0.05681818181818182
4	"b""If you are new to 'Blockchain', there are just 3 things you need to know to be up to speed:\n\n1. Satoshi called it Timechain, 'Blockchain' was made-up. \n\n2. Timechain ('Blockchain') is just the timestamping aspect within the Bitcoin Protocol (BP).\n\n3. Bitcoin, not Blockchain."""	2019-12-15	0.13636363636363635
5	"b""Quick Poll: How open-minded are you to #Crypto?\n\n#XRPCommunity I'd be grateful for RTs\n#XRPArmy #BTC #XRP #ETH #Blockchain #investment \n\nWill publish results on: https://www.lochinvarlass.com/crypto/ """	2019-12-15	0.3666666666666667
6	"b""I received an email demanding I deposit bitcoin in an account or they would release everything they know about me from watching me on my computer. First, I don't have a web cam, second...oh, ok. I ignored and nothing happened. Some people are trash."""	2019-12-15	0.375
7	b'Once in a blue moon comes an opportunity to buy a project like $ocean like pre2017 ethereum\n\n\xe2\x80\x9dbitcoin of data\xe2\x80\x9d\n \xe2\x80\x9cGerman ethereum\xe2\x80\x9d\n price discovery top 5 project\n\nDyor  @oceanprotocol \n\n$btc $ltc $eth $qnt $dag $enj $eng $hot $erd $iost $chz $one $bch $link $matic $atom'	2019-12-15	0.1875
8	"b'If we apply this chart to the entire history of BTC, I would say we are currently in the ""complacency"" phase. That would make sense too, considering how complacent everyone is with their moon dreams. I think we\'re about to enter REAL anxiety, denial, and dream crushing panic. pic.twitter.com/P5hjOvF0f7'"	2019-12-15	0.15000000000000002
9	b'As amazing as bitcoin and the other cryptocurrencies are for tracking crime & espionage, its other great contribution is every asset - financial, intelligence, business, criminal - it ties together in an unbreakable chain of evidence...\n\nWhich merges with others in turn.\n\n#FinCEN'	2019-12-15	0.12500000000000003
