	Tweets	date	polarity
0	b'#BTC/USD ASIA \n\n#Bitcoin rises to $7,772 @Bitstamp with a retest of former support turned resistance.\n\nRSI: Smacked down from the neutral 50 zone on Nov. 29 and is yet to close above for a bullish reversal signal\n\nAO: Edging closer toward flipping to greater bull momentum\n\n$BTC '	2019-12-04	0.08611111111111111
1	b'@TomoChainANN there is bright future for us \n\nx 60 roughly \n\n$TOMO $BTC $ETH'	2019-12-04	0.20000000000000004
2	b'  Oh the irony in that. @KennethBosak turns within one month from calling someone out for being a scammer, into a scammer himself who shills fake bitcoin and is agreeable to Bcash  #SockPuppet'	2019-12-04	-0.5
3	b'51% attacks in the last 2 years:\n\n- Verge (3 times)\n- Zencash\n- Litecoin Cash\n- Bitcoin Gold\n- Monacoin\n- Vertcoin (2 times)\n- Ethereum Classic\n\n\xf0\x9d\x97\x97\xf0\x9d\x97\xae\xf0\x9d\x98\x80\xf0\x9d\x97\xb5 \xf0\x9d\x97\xb6\xf0\x9d\x98\x80 \xf0\x9d\x98\x82\xf0\x9d\x97\xbb\xf0\x9d\x97\xb6\xf0\x9d\x97\xbe\xf0\x9d\x98\x82\xf0\x9d\x97\xb2\xf0\x9d\x97\xb9\xf0\x9d\x98\x86 \xf0\x9d\x9f\xb1\xf0\x9d\x9f\xad% \xf0\x9d\x97\xae\xf0\x9d\x98\x81\xf0\x9d\x98\x81\xf0\x9d\x97\xae\xf0\x9d\x97\xb0\xf0\x9d\x97\xb8-\xf0\x9d\x97\xbd\xf0\x9d\x97\xbf\xf0\x9d\x97\xbc\xf0\x9d\x97\xbc\xf0\x9d\x97\xb3 making it the most secure blockchain. Keep your funds safe. Use \xf0\x9f\x84\xb3\xf0\x9f\x84\xb0\xf0\x9f\x85\x82\xf0\x9f\x84\xb7 '	2019-12-04	0.31333333333333335
4	"b"" What's the best coin to #hodl over the holiday season?  \n\n#BTC $BTC #ETH #LTC #DGB #crypto"""	2019-12-04	1.0
5	b'I\xe2\x80\x99m officially the \xe2\x80\x9cBitcoin cleats guy\xe2\x80\x9d. '	2019-12-04	0.0
6	"b""Bitcoin's marketing department strikes again! Give @RussellOkung a follow and watch as he continues to spread awareness from an NFL locker room  https://twitter.com/RussellOkung/status/1202344620325126144 \xe2\x80\xa6"""	2019-12-04	0.0
7	b'Another major wick on @binance one of the stable coin pairs dumps down to 680$ today. $BTC '	2019-12-04	-0.04652777777777779
8	"b""Let's talk about some interesting News! Everybody has opinions and I'm intrigued by constructive conversations about the #blockchain industry!\n\nThese are my thoughts on a recent article, and I would love to hear yours!\n\nhttps://youtu.be/d-ggbuTP0pc \n\n#crypto #Metrix #bitcoin $MRX #btc"""	2019-12-04	0.46875
9	b'$BTC #Bitcoin daily chart on track to finish with a spinning top after yesterday\xe2\x80\x99s doji '	2019-12-04	0.25
10	b'Top 3 Bitcoin Documentaries: \n\n1. The Rise And Rise Of Bitcoin\n2. Bitcoin: The End of Money As We Know It\n3. Banking On Bitcoin\n\nWhat other documentaries are you watching?'	2019-12-04	0.1875
11	b'$BTC \n\nBreak Mondays lows - and ill be adding to my shorts...targeting previous weekly open.\n\nTook 25% profits below mondays open and -re-added some shorts at 72s\n\nAvg entry now 7530 '	2019-12-04	-0.16666666666666666
12	b'Wow. Great work @ChicoCrypto exposing this artificial inflation of #bitcoin supply (fractional reserve) by Bakkt and big banks to suppress it. Same thing they did to #Silver & #Gold they are doing to $BTC. Everyone should watch this video: '	2019-12-04	0.06000000000000001
13	b'Our partners are just like us: they want everyone on the bitcoin train. '	2019-12-04	0.0
14	b'Welcome to the lolli squad, @Expedia!'	2019-12-04	1.0
15	"b""A look at Bitcoin's monthly price performance since August 2010. """	2019-12-04	0.0
16	"b'My CPA parents: ""What if Bitcoin goes to 0 and you lose everything?!""\n\nMe: ""A) That will never happen. B) Then I\'d go down fighting to preserve something I believe in.""\n\n#HODLon'"	2019-12-04	-0.15555555555555559
17	"b""You don't run a full node to help bitcoin.\n\nYou run a full node to help yourself.\n\nDon't trust, verify your wealth."""	2019-12-04	0.35
18	b'How did you first hear about #bitcoin, and what about it made you want to learn more?'	2019-12-04	0.375
19	b'Repeat after me: \n\nBulls are always in control. ALWAYS\n\nEven when it retraces yes.\n\nBitcoin is the single highest performing asset of the last decade. Twitter hyenas are always out to get it cheaper from you.'	2019-12-04	-0.03571428571428571
20	"b""\xe2\x88\x99 Today's volume so far: 3290 BTC ($23.66 million)\n\xe2\x88\x99 Last traded price: $7,193\n\xe2\x88\x99 Trading day progress: 67%\n\xe2\x88\x99 Current daily Bakktarget\xe2\x84\xa2: 3853 BTC ($27.71 million)"""	2019-12-04	0.025
21	"b""Today I've recorded a @BitcoinMagazine  interview with THE Babe Ruth of BTC shills himself, @TraceMayer. \n\nHe talked about the #ProofOfKeys event & how you should prepare for it, why CoinJoins are a bad idea, and why an airdrop for Jan/3\xe2\x9e\x9e\xe2\x82\xbf participants might be beneficial."""	2019-12-04	-0.6999999999999998
22	b'VIDEO OF CSW SERENADING THE BTC COMMUNITY '	2019-12-04	0.0
23	b'Jus chillin. Waitin on bitcoin to do what I told it to do.  '	2019-12-04	0.0
24	b'Bitcoin Ben and Bix Weir, Solving the problem and explaining everything!!! https://youtu.be/Sb9ky53KFaY  via @YouTube'	2019-12-04	0.0
25	b'BTC crashed to $600+ in Binance\nThanks for the heads up @cz_binance'	2019-12-04	0.2
26	b'$ETH short idea\n\nSame idea as BTC, buy-side liquidity nuked coupled with MO rejection leads me to believe the next move is to the south. Expecting the previous support level to flip as resistance (shown in red). '	2019-12-04	-0.03333333333333333
27	b'This was the shortest dead cat bounce, I mean bullmarket for #bitcoin. Will we see the same for the bear too? '	2019-12-04	-0.1708333333333333
