	Tweets	date	polarity
0	b'You can do it #bitcoin \n\nProbably just waiting for next daily open before any funny business. '	2019-12-20	0.0625
1	"b""Using a KYC service to obtain BTC should nullify any personal presumption of privacy. \n\nThe best solution to KYC's privacy dangers is to opt-out. \n\nThere are sadly no *magic* wands to undoxx yourself with once you make that fatal decision, regardless of what others selling you."""	2019-12-20	0.25
2	b'Born out of #hardfork from the #Bitcoin network in 2017, #BitcoinCash came into the #cryptocurrency world with the mission of carrying #SatoshiNakamoto\xe2\x80\x99s original vision and it is here to stay https://bit.ly/2PFb4DJ \n#TheCurrencyAnalytics #blockchain #BTC'	2019-12-20	0.375
3	b'Do you agree with #Bitcoin going to $250,000 by 2022? \n\n '	2019-12-20	0.0
4	b' Time is Money  \nNeed an app that will be rewarding you for the time you spend on internet everyday? Opt using #linkup. It is completely free and your messages are so private. The app is #ComingSoon 02.02.2020.\nFor any Inquiries DM @LinkupFr or @bitcoin_clara'	2019-12-20	0.175
5	"b""Alright, we\xe2\x80\x99re starting the giveaways off with a big one\n\n1 FREE month in @ColdBloodShill's educational group (worth 0.01 BTC)\n\nTo enter:\n- Subscribe on YouTube\n- Follow CBS\n- RT\n\nWinner will be announced on the episode next Thursday. Listen to his here """	2019-12-20	0.15833333333333333
6	b'Watch out world\n\nBitcoin is about to begin spreading its wings https://twitter.com/BitcoinSVNode/status/1207954790438842368 \xe2\x80\xa6'	2019-12-20	0.0
7	b'0/5. The 5 stages of Bitcoin Fungibility grief: '	2019-12-20	-0.8
8	b'Maximalist are in denial. Recommending people use #bitcoin for private transactions is just plain negligent. '	2019-12-20	-0.10714285714285714
9	b'If you  #Bitcoin then #Blockchain2035 by @jaredctate should be on your reading list JT is a crypto OG & true blockchain pioneer (since 2014!) who envisions a more secure, efficient & decentralized digital future...Can\xe2\x80\x99t wait to read this! $DGB #DigiByte #DigitalFuture'	2019-12-20	0.334375
10	b'Just arrived from the US #Blockchain2035 #DigiByte #DGB time to start reading. Thanks @jaredctate @ADavidKnapp for making this book '	2019-12-20	0.2
11	"b""Thank you team @nChainGlobal for the hours of attention you've given\nto bringing #BitCoin home.\n\n@connolly_dan @shadders333 and all the unknowns.\n\nNow let's rock the world with what BitCoin was made for :) """	2019-12-20	0.5
12	b'Amazing #bitcoin #art by @LuchoPoletti! Support the #digital #revolution and spread the word by buying this artists work. \n\nBitcoin prints, shirts available and very limited collectors edition! Get yours now at http://bit.ly/bitcoin-art-store \xe2\x80\xa6\n\n#CryptoNews #cryptocurrencies #cryptoart'	2019-12-20	0.2584821428571429
13	b'It\xe2\x80\x99s official, we are now over 90% of the way through the third #Bitcoin cycle.  There are less than 21,000 blocks to go until the third halving \n\nI expect massive gains in the price of #BTC and #TRX next year \n\n#HODL '	2019-12-20	-0.03333333333333333
14	b'In a stunning turn of events, the @SEC_News decided to postpone making a decision on the bitcoin (and US Treasury bond) ETF proposal filed by @WilshirePhoenix. Looks like Feb. 26 is the day to look out for'	2019-12-20	0.5
15	"b'#Bitcoin is the revolution the world needed ...\n\n""Tweet"" \n\n$BTC '"	2019-12-20	0.0
16	b'\xe2\x80\x9cWhen asked to prove themselves things could go badly\xe2\x80\x9d this ain\xe2\x80\x99t Bitcoin big dawg!!!! You ask @Ripple to prove themselves and they will shine brighter than anyone in the space. It\xe2\x80\x99s about time y\xe2\x80\x99all started at least having a conversation about them!!!'	2019-12-20	-0.4286458333333332
17	"b""NEW: The SEC will approve or reject @WilshirePhoenix's bitcoin and U.S. Treasury ETF proposal next year. http://ow.ly/3Huj50xFGfE  @nikhileshde reports"""	2019-12-20	0.012121212121212116
18	"b""\xe2\x88\x99 Today's volume so far: 910 BTC ($6.58 million)\n\xe2\x88\x99 Last traded price: $7,235\n\xe2\x88\x99 Trading day progress: 67%\n\xe2\x88\x99 Current daily Bakktarget\xe2\x84\xa2: 1041 BTC ($7.53 million)"""	2019-12-20	0.025
19	b'I bought some nootropics with Bitcoin yesterday. When was the last time you paid for something with crypto?'	2019-12-20	0.0
20	"b""#Bitcoin may be playing Santa Clause this year. But don't accept a bear if he has it in his bag. Go for the candy rather. #Catapult2 #unexpected"""	2019-12-20	0.1
21	b'Where BSV is going is where BTC was supposed to go before it was hijacked by developers, blockstream and banks. BSV is Bitcoin. Decentralised with no one in power.'	2019-12-20	0.0
22	b'Dan is trying to get greatest Bitcoin tweet two days in a row. '	2019-12-20	1.0
23	b'We are in the longest equity bull market without a 20% drawdown.\n\nThisisfine.jpeg '	2019-12-20	0.0
24	b'Bsv will overtake BTC one day , \nBut it will flip BCH on its head , first very soon !!!!! Very very soon !!!! '	2019-12-20	0.4983723958333333
25	b'Bitcoin Price Forecast 2020: BTC, the ultimate store of value'	2019-12-20	0.0
